31,"582/08","S60 2,5T AWD",2521,"YV1RS595392723977","8S81393",800467920,"S60","2003/76B",,"BÍLÁ ZAKL.",7/24/2008,2/9/2009,5/26/2009,"Comp.Car","CC M.KOZA",,,9488,791,5,3953.3333333333,44381,3698,2,7396.8333333333,,,,,,,,,,11350.1666666667,,,,,,,
32,"267/08","S60 2,0T",1984,"YV1RS494982701046","8S81387",800467916,"S60","2003/76B",,"STŘÍBRNÁ MET.",7/10/2008,,4/27/2009,"STA","STA F Reyes",,"18 000km",7178,598,4,2392.6666666667,38087,3174,4,12695.6666666667,,,,,,,,,,15088.3333333333,,,,,,,
33,"092/08","S60 D5",2400,"YV1RS714182694921","8S81273",800467905,"S60","2003/76B",,"ZELENÁ MET.",7/10/2008,,6/22/2009,"STA","STA M.Vostrý",,"43000km",7178,598,6,3589,44622,3719,6,22311,,,,,,,,,,25900,,,,,,,
34,"444/08","V70 T6 AWD VOR",2953,"YV1BW995691074358","8S81370",800467894,"V70 NEW","2003/76B",,"STŘÍBRNÁ MET.",7/15/2008,,3/17/2009,"Mrktng","PRESS",,,9488,791,3,2372,66350,5529,3,16587.5,,,,,,,,,,18959.5,,,,,,,
36,"446/08","XC90 D5 AWD VOR",2400,"YV1CM714691504482","8S82296",800467872,"XC90","2003/76B",,"MODRÁ MET.",8/12/2008,,5/6/2009,"Mrktng","PRESS",,,7178,598,5,2990.8333333333,61210,5101,5,25504.1666666667,,,,,,,,,,28495,,,,,,,
37,"669/08","V50 2,0D POWERSHIFT",1997,"YV1MW755B92459194","8S82297",800467861,"V50","2003/76B",,"MODRÁ MET.",8/12/2008,,5/5/2009,"Mrktng","PRESS",,,7178,598,5,2990.8333333333,45525,3794,5,18968.75,,,,,,,,,,21959.5833333333,,,,,,,
38,"652/08","S60 2,4D",2400,"YV1RS694192723523","9S08197",800467835,"S60","2003/76B",,"STŘÍBRNA MET.",8/28/2008,,6/25/2009,"STA","STA Beránek, fakturováno 23.6.2009",,"38500km",7178,598,6,3589,40520,3377,6,20260,,,,,,,,,,23849,,,,,,,
39,"654/08","S60 D5",2400,"YV1RS714192723537","9S08196",800467846,"S60","2003/76B",,"STŘIBRNA MET.",8/28/2008,,6/25/2009,"STA","STA Krčmář, fakturováno 23.6.2009",,"38200km",7178,598,6,3589,42296,3525,6,21148,,,,,,,,,,24737,,,,,,,
40,"651/08","S60 2,4D",2400,"YV1RS694092723328","9S08198",800467850,"S60","2003/76B",,"STŘÍBRNÁ MET.",8/28/2008,,6/10/2009,"STA","STA Ayubi",,"32000km",7178,598,6,3589,42545,3545,6,21272.5,,,,,,,,,,24861.5,,,,,,,
41,"363/08","XC60 2,4D AWD",2400,"YV1DZ694492000520","9S08974",800467780,"XC60","2006/96B",,"MODROSEDA MET.",9/19/2008,,,"DO Demo","INTRO DEMO","+",,7178,598,12,7178,48566,4047,12,48566,,,,,,,,,,55744,,,,,,,
42,"364/08","XC60 T6 AWD",2953,"YV1DZ995692000460","9S08973",800467791,"XC60","2006/96B",,"BRONZOVÁ MET.",9/19/2008,,4/7/2010,"DO Demo","INTRO DEMO","+",,9488,791,12,9488,64336,5361,12,64336,,,,,,,,,,73824,,,,,,,
43,"670/08","XC90 V8 AWD",4414,"YV1CR855691506282","9S08795",800467802,"XC90","2003/76B",,"CERVENA ZAKL.",9/19/2008,,5/27/2009,"Mrktng","PRESS",,,9488,791,5,3953.3333333333,75312,6276,5,31380,,,,,,,,,,35333.3333333333,,,,,,,
44,"209/08","XC70 D5 AWD",2400,"YV1BZ714681031928","9S09013",800467754,"XC70 NEW","2003/76B",,"ŠEDÁ MET.",9/24/2008,,4/20/2009,"Comp.Car","CC ŠÁRKA FUCHSOVÁ",,"15 000km",7178,598,4,2392.6666666667,51762,4314,4,17254,,,,,,,,,,19646.6666666667,,,,,,,
45,"1045/08","V50 2,0D POWERSHIFT",1997,"YV1MW755B92469023","9S09026",800467721,"V50","2003/76B",,"ČERNÁ MET.",9/25/2008,3/19/2009,4/9/2009,"Cust. Serv.","CC MILAN VONDRÁČEK",,,7178,598,4,2392.6666666667,38549,3212,4,12849.6666666667,,,,,,,,,,15242.3333333333,,,,,,,
46,"640/08","XC60 T6 AWD",2953,"YV1DZ995692000783","9S09073",800467614,"XC60","2006/96B",,"ŠEDÁ MET.",9/30/2008,12/22/2008,12/30/2008,"DO Demo","INTRO DEMO",,,9488,791,0,0,65814,5485,0,0,,,,,,,,,,0,,,,,,,
47,"992/08","XC90 D5 AWD",2400,"YV1CM714691510774","9S09094",800467603,"XC90","2003/76B",,"ČERNÁ MET.",10/5/2008,11/4/2010,12/8/2010,"Mrktng",5,,,7178,598,12,7178,52722,4394,12,52722,,,,,,,,,,59900,,,,,,,
48,"991/08","XC90 D5 AWD R",2400,"YV1CR714691510414","9S09896",800467592,"XC90","2003/76B",,"ČERVENA ZAKL.",10/14/2008,3/27/2009,3/31/2009,"DO Demo","DO DEMO",,,7178,598,3,1794.5,56629,4719,3,14157.25,,,,,,,,,,15951.75,,,,,,,
49,"668/08","V70 T6 AWD R-DESIGN",2953,"YV1BW995691084468","9S09833",800467570,"V70 NEW","2003/76B",,"ČERVENÁ ZAKL.",10/23/2008,,5/5/2009,"Mrktng","PRESS",,,9488,791,5,3953.3333333333,63797,5316,5,26582.0833333333,,,,,,,,,,30535.4166666667,,,,,,,
50,"641/08","XC60 D5 AWD",2400,"YV1DZ714492000734","9S09834",800467581,"XC60","2006/96B",,"ZELENÁ MET.",10/23/2008,,10/7/2009,"Mrktng","PRESS",,,7178,598,10,5981.6666666667,54629,4552,10,45524.1666666667,,,,,,,,,,51505.8333333333,,,,,,,
51,"1135/08","S60 2,4",2435,"YV1RS654292730605","9S10937",858697884,"S60","2006/96B",,"STŘÍBRNÁ MET.",11/11/2008,,5/6/2009,"Comp.Car","CC BOREK SMELIK",,"12400km",7178,598,5,2990.8333333333,33356,2780,5,13898.3333333333,,,,,,,,,,16889.1666666667,,,,,,,
52,"1376/08","XC70 D5",2400,"YV1BZ714491061316","9S34107",80102573,"XC70 NEW","2006/96B",,"OYSTER GREY",12/18/2008,,10/3/2011,"Mrktng","SPARTAK Rokytnice","*",,6581,548,12,6581,54343,4529,12,54343,,,,,,,,,,60924,,,,,,,
53,"984/08","V70 D5",2400,"YV1BW714691082034","9S34809",800467566,"V70 NEW","2006/96B",,"ŠEDÁ MET.",1/8/2009,,3/21/2011,"Staff Lease","Petr Sýč",,"34100km",7178,598,12,7178,60835,5070,12,60835,,,,,,,,,,68013,,,,,,,
54,"1360/08","XC90 D5",2400,"YV1CM714691518021","9S35097",800467555,"XC90","2006/96B",,"ŠEDÁ MET.",1/12/2009,,3/17/2010,"Mrktng","SPARTAK Rokytnice","+",,6851,571,12,6851,55544,4629,12,55544,,,,,,,,,,62395,,,,,,,
55,"655/08","S60 D5",2400,"YV1RS714092723234","9S35590",800467544,"S60","2006/96B",,"Black saphire met.",1/26/2009,,4/29/2011,"Staff Lease","P. Doležalová","+",,7178,598,12,7178,51830,4319,12,51830,,,,,,,,,,59008,,,,,,,
56,"827/08","V70 T6 R-DESIGN",2953,"YV1BW995691085478","9S35844",800467533,"V70 NEW","2003/76B",,"MODRÁ TM. MET.",2/9/2009,,4/21/2010,"Mrktng","PRESS","+",,9488,791,11,8697.3333333333,76562,6380,11,70181.8333333333,,,,,,,,,,78879.1666666667,,,,,,,
57,"1274/08","V70 D5 AWD",2400,"YV1BW714691091835","9S36037",800467522,"V70 NEW","2006/96B",,"TM. MODRA MET.",2/17/2009,,6/10/2009,"Comp.Car","Klára Skálová",,"7 200km",7178,598,5,2990.8333333333,64842,5404,5,27017.5,,,,,,,,,,30008.3333333333,,,,,,,
58,"589/08","V70 2,4D",2400,"YV1BW694191072686","9S36419",800467511,"V70 NEW","2006/96B",,"ŠEDÁ MET.",2/23/2009,,5/7/2009,"Cust. Serv.","Rosťa Mareček",,"3 600km",7178,598,4,2392.6666666667,50417,4201,4,16805.6666666667,,,,,,,,,,19198.3333333333,,,,,,,
59,"1440/08","XC70 D5 AWD",2400,"YV1BZ714491061325","9S36420",800467500,"XC70 NEW","2006/96B",,"ČERNÁ MET.",2/23/2009,,6/16/2009,"Cust. Serv.","Eva Kovářová",,"20000km",7178,598,5,2990.8333333333,56132,4678,5,23388.3333333333,,,,,,,,,,26379.1666666667,,,,,,,
60,"229/08","S80 2,0D",1997,"YV1AS754181082548","8S80295",858697976,"S80 NEW","2003/76B",,"TM. ŠEDÁ MET.",6/15/2009,,12/22/2009,"DO Demo","Bazaar","*",,9400,783,7,5483.3333333333,45155,3763,7,26340.4166666667,,,,,,,,,,31823.75,,,,,,,
61,"1433/08","V70 2,4D",2400,"YV1BW694191095261","9S36653",800467496,"V70 NEW","2006/96B",,"MODRÁ",3/2/2009,,6/2/2009,"STA","STA Procházka",,"17000km",7178,598,4,2392.6666666667,52653,4388,4,17551,,,,,,,,,,19943.6666666667,,,,,,,
62,"1437/08","XC70 D5 AWD VOR",2400,"YV1BZ714691060944","9S36654",800467485,"XC70 NEW","2006/96B",,"MODRÁ VOR MET.",3/2/2009,,6/16/2009,"STA","STA Šeděnka",,"11000km",7178,598,10,5981.6666666667,62088,5174,10,51740,,,,,,,,,,57721.6666666667,,,,,,,
63,"1533/08","XC70 D5 AWD",2400,"YV1BZ714691062672","9S36854",800467474,"XC70 NEW","2006/96B",,"OYSTER GREY",3/16/2009,10/29/2009,11/10/2009,"STA","STA Glabazňa",,"31100km",7178,598,9,5383.5,58441,4870,9,43830.75,,,,,,,,,,49214.25,,,,,,,
64,"155/09","V50 1,6D DRIVe",1560,"YV1MW76E292491514","9S36853",800467463,"V50","2003/76B",,"MAPEL RED",3/16/2009,,12/16/2009,"Mrktng","PRESS",,,5064,422,10,4220,45482,3790,10,37901.6666666667,,,,,,,,,,42121.6666666667,,,,,,,
65,"1375/08","XC70 D5 AWD",2400,"YV1BZ714691061657","9S37408",800467452,"XC70 NEW","2006/96B",,"ZELENO-ŠEDÁ MET.",3/23/2009,,6/18/2009,"Cust. Serv.","Pepa Havlík",,"5000km",7178,598,4,2392.6666666667,65252,5438,4,21750.6666666667,,,,,,,,,,24143.3333333333,,,,,,,
66,"052/08","XC70 3,2 AWD",3192,"YV1BZ985681029025","8S53981",800681174,"XC70 NEW","2003/76B",,"STŘÍBRNA MET.",4/7/2008,,1/21/2009,"DO Demo","DO DEMO, prodej AB Brno",,,9488,791,1,790.6666666667,70875,5906,1,5906.25,,,,,,,,,,6696.9166666667,,,,,,,
67,"960/06","XC70 2.5T AWD",2521,"YV1SZ595771267765","6S43077",866477780,"XC70","2003/76B",,"BLACK",11/28/2006,"3.7.2007,16.1.2008",1/26/2009,"Comp.Car",,,,8625,719,1,718.75,61602,5134,1,5133.5,,,,,,,,,,5852.25,,,,,,,
68,"1160/07","V70 D5 AWD",2400,"YV1BW714681023848","8S21242",866478060,"V70 NEW","2003/76B",,"ŠEDÁ MET.",12/12/2007,,1/26/2009,"Cust. Serv.","CC PEPA HAVLÍK",,,7178,598,1,598.1666666667,61590,5133,1,5132.5,,,,,,,,,,5730.6666666667,,,,,,,
69,"366/08","XC60 D5 AWD",2400,"YV1DZ714692000521","9S09075",800467625,"XC60","2006/96B",,"ČERVENÁ MET.",9/30/2008,,1/26/2009,"DO Demo","INTRO DEMO",,,7178,598,1,598.1666666667,54888,4574,1,4574,,,,,,,,,,5172.1666666667,,,,,,,
70,"729/07","V50 2,4i",2435,"YV1MW385282374876","7S58120",866477990,"V50","2003/76B",,"GREEN MET.",8/16/2007,"cca 10.11.2008",2/2/2009,"Mrktng","PRESS",,,7178,598,2,1196.3333333333,44310,3693,0,0,,,,,,,,,,1196.3333333333,,,,,,,
71,"667/08","V50 2,0D POWERSHIFT",1997,"YV1MW955B92464621","9S08967",800467776,"V50","2003/76B",,"ZELENÁ MET.",9/24/2008,,2/5/2009,"DO Demo","DO DEMO",,,7178,598,2,1196.3333333333,40574,3381,2,6762.3333333333,,,,,,,,,,7958.6666666667,,,,,,,
72,"050/08","C30 1,6",1596,"YV1MK204282070208","8S53296",800468211,"C30","2003/76B",,"STŘÍBRNÁ MET.",3/5/2008,,2/9/2009,"Staff Lease","STAFF LEASE K. SKÁLOVÁ",,,5064,422,2,844,25186,2099,2,4197.6666666667,,,,,,,,,,5041.6666666667,,,,,,,
73,"420/07","XC70 3,2 AWD",3192,"YV1BZ985681000564","7S56233",868399954,"XC70 NEW","2003/76B",,"SILVER-GREEN",6/28/2007,,2/16/2009,"Mrktng","PRESS, zápůjčka CONEA  (MKT), p. Lauš",,,8625,719,2,1437.5,60951,5079,2,10158.5,,,,,,,,,,11596,,,,,,,
74,"1418/07","S60 D5",2400,"YV1RS714182689083","8S22029",800468255,"S60","2003/76B",,"ČERNÁ MET.",1/16/2008,,2/16/2009,"Comp.Car","CC MILAN KOZA, prodej SPX Zlin",,,7178,598,2,1196.3333333333,48423,4035,2,8070.5,,,,,,,,,,9266.8333333333,,,,,,,
75,"427/07","V70 D5",2400,"YV1BW714081000678","8S80053",800468093,"V70 NEW","2003/76B",,"ŠEDÁ MET.",6/13/2008,,2/16/2009,"DO Demo","Leasingovky",,,7178,598,2,1196.3333333333,50058,4172,2,8343,,,,,,,,,,9539.3333333333,,,,,,,
76,"826/07","C70 D5",2400,"YV1MC77498J042043","7S58494",866477986,"C70","2003/76B",,"DARK BLUE MET.",9/6/2007,,2/17/2009,"DO Demo","DO DEMO",,,7178,598,2,1196.3333333333,56273,4689,2,9378.8333333333,,,,,,,,,,10575.1666666667,,,,,,,
77,"416/07","V70 3,2",3192,"YV1BW985081000511","7S56229",868399965,"V70 NEW","2003/76B",,"DARK GREY",6/28/2007,,2/19/2009,"DO Demo","DO DEMO",,,8625,719,2,1437.5,57399,4783,2,9566.5,,,,,,,,,,11004,,,,,,,
78,"565/08","XC90 D5 AWD",2400,"YV1CZ714691500069","8S80616",800467964,"XC90","2003/76B",,"BÍLÁ ZAKL.",6/30/2008,11/10/2008,2/19/2009,"Comp.Car","SL T. JACQUES",,,7178,598,2,1196.3333333333,61439,5120,0,0,,,,,,,,,,1196.3333333333,,,,,,,
79,"1040/08","XC70 D5 AWD",2400,"YV1BZ714691056869","9S09014",800467732,"XC70 NEW","2003/76B",,"MODRÁ VOR MET.",9/24/2008,,2/20/2009,"DO Demo","DO DEMO",,,7178,598,2,1196.3333333333,56877,4740,2,9479.5,,,,,,,,,,10675.8333333333,,,,,,,
80,"1002/05","V70 2.5T",2521,"YV1SW595262568955","6S42664",866477754,"V70","2003/76B",,"BLUE",11/16/2006,6/28/2007,3/2/2009,"Comp.Car",,,,8625,719,3,2156.25,55226,4602,0,0,,,,,,,,,,2156.25,,,,,,,
81,"1012/08","V70 2,5T",2521,"YV1BW565191082842","9S08821",800467813,"V70 NEW","2003/76B",,"MODRÁ VOR MET.",9/18/2008,,3/9/2009,"Comp.Car","CC KLARCA SKALOVA",,,9488,791,3,2372,43557,3630,3,10889.25,,,,,,,,,,13261.25,,,,,,,
82,"421/07","XC70 D5 AWD",2400,"YV1BZ714681000539","9S08732",800467824,"XC70 NEW","2003/76B",,"STŘIBRNA MET.",9/12/2008,,3/10/2009,"Cust. Serv.","CC ROSŤA MAREČEK (dříve AFS COURTESY CAR)",,,7178,598,3,1794.5,62738,5228,3,15684.5,,,,,,,,,,17479,,,,,,,
83,"321/07","S80 3.2 AWD",3192,"YV1AS985671025477","7S21252",868320261,"S80 NEW","2003/76B",,"BLACK",3/26/2007,7/25/2008,3/12/2009,"DO Demo",,,,8625,719,3,2156.25,59090,4924,0,0,,,,,,,,,,2156.25,,,,,,,
84,"1057/06","C70 T5",2521,"YV1MC68597J024304","8S53892",800468196,"C70","2003/76B",,"MODRA MET.",4/2/2008,11/11/2008,3/12/2009,"Cust. Serv.","CC MILAN VONDRÁČEK",,,9488,791,3,2372,57036,4753,0,0,,,,,,,,,,2372,,,,,,,
85,"328/07","S80 D5",2400,"YV1AS714171026957","8S80039",800468056,"S80 NEW","2003/76B",,"TM. MODRA MET.",6/13/2008,,3/12/2009,"DO Demo","Leasingovky",,,7178,598,3,1794.5,48235,4020,3,12058.75,,,,,,,,,,13853.25,,,,,,,
86,"1092/07","V70 2,4D",2400,"YV1BW694181015677","8S80054",800468082,"V70 NEW","2003/76B",,"STRÍBRNA MET.",6/13/2008,,3/23/2009,"DO Demo","ARVAL, od 2009 company Car Petr Glabazna (dopsala Lenka Birnbaumova)",,,7178,598,3,1794.5,44232,3686,3,11058,,,,,,,,,,12852.5,,,,,,,
87,"167/08","V50 D5",2400,"YV1MW865182412739","9S09015",800467743,"V50","2003/76B",,"ŠEDÁ MET.",9/24/2008,,3/23/2009,"STA","exSTA k 5.3.2009",,,7178,598,3,1794.5,40058,3338,3,10014.5,,,,,,,,,,11809,,,,,,,
88,"656/08","S60 D5",2400,"YV1RS714192723240","9S08968",800467765,"S60","2003/76B",,"ČERNÁ MET.",9/24/2008,,3/23/2009,"STA","exSTA k 5.3.2009",,,7178,598,3,1794.5,42296,3525,3,10574,,,,,,,,,,12368.5,,,,,,,
